#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
11	-1925.3175514485886	-1918.1635669848774	-1925.3175514485886	7.153984463711067	-1925.3175514485886	0.05509533622014007	7.153984463711067	10.237565632313416
12	-1925.2138254975127	-1917.6189261144839	-1925.2138254975127	7.594899383028849	-1925.2138254975127	0.05704455583886468	7.594899383028849	22.779729753633774
13	-1925.2103190029013	-1918.6136771973418	-1925.2103190029013	6.596641805559482	-1925.2103190029013	0.06135971604613859	6.596641805559482	30.41946843326188
14	-1925.0810921777174	-1917.4621688091813	-1925.0810921777174	7.618923368536187	-1925.0810921777174	0.056910277403260025	7.618923368536187	23.618178470773984
15	-1924.9987279425843	-1920.4388945016349	-1924.9987279425843	4.559833440949401	-1924.9987279425843	0.06068863736282389	4.559833440949401	3.869424570703206
16	-1924.9492030612716	-1917.670575913354	-1924.9492030612716	7.278627147917551	-1924.9492030612716	0.0604912853232057	7.278627147917551	25.742429936560544
17	-1924.9332998871926	-1923.040077491963	-1924.9332998871926	1.8932223952296	-1924.9332998871926	0.06074410914890948	1.8932223952296	66.58377657860365
18	-1924.9298888340627	-1917.522371027152	-1924.9298888340627	7.4075178069106755	-1924.9298888340627	0.06090321170321807	7.4075178069106755	14.270243657539512
19	-1924.914310294434	-1918.0615505231713	-1924.914310294434	6.8527597712627495	-1924.914310294434	0.06102375991459563	6.8527597712627495	30.36438722275628
20	-1924.900037753723	-1917.6804553462491	-1924.900037753723	7.219582407473787	-1924.900037753723	0.06017079813824233	7.219582407473787	26.415755989428526
21	-1924.896584483518	-1917.6978154201895	-1924.896584483518	7.198769063328381	-1924.896584483518	0.06002472867796387	7.198769063328381	11.36019804731539
22	-1924.8964600080303	-1917.3331409136179	-1924.8964600080303	7.563319094412475	-1924.8964600080303	0.06002472867796387	7.563319094412475	18.84099433202944
23	-1924.896292967781	-1917.38028541242	-1924.896292967781	7.516007555360737	-1924.896292967781	0.06002472867796387	7.516007555360737	15.328707277621605
24	-1924.8961791011247	-1917.7796932260994	-1924.8961791011247	7.116485875025299	-1924.8961791011247	0.060024956955246074	7.116485875025299	27.93890387001529
25	-1924.8961608834538	-1917.4018729514341	-1924.8961608834538	7.494287932019635	-1924.8961608834538	0.060024956955246074	7.494287932019635	14.861022652642127
26	-1924.896138516322	-1917.6780965363773	-1924.896138516322	7.218041979944697	-1924.896138516322	0.06009298281294913	7.218041979944697	11.537472025273955
27	-1924.8961239577459	-1917.3401817237127	-1924.8961239577459	7.555942234033113	-1924.8961239577459	0.06002124503964775	7.555942234033113	16.833077130024503
28	-1924.896116335687	-1917.6095119617246	-1924.896116335687	7.286604373962483	-1924.896116335687	0.0601117654792501	7.286604373962483	25.493865366026842
29	-1924.896116335687	-1917.6095119617246	-1924.896116335687	7.286604373962483	-1924.896116335687	0.0601117654792501	7.286604373962483	25.493865366026842
30	-1924.8961119617982	-1917.3709040683923	-1924.8961119617982	7.525207893405846	-1924.8961119617982	0.06005174070088635	7.525207893405846	15.59032612140202
31	-1924.8961074254719	-1917.5406412667762	-1924.8961074254719	7.3554661586956875	-1924.8961074254719	0.06005174070088635	7.3554661586956875	24.487255852181267
